AccountNumber,BillNumber,IssueDate,DueDate,CustomerName,Address,OSBalance,AdvancePayment,CurrentCharges,TamperingInst,OtherInst,OtherCharges,ConsumptionValue,MeterRent,CountryFils,FuelPriceRate,TVFees,GarbageFees,MeterNumber,Period,PresRead,PrevRead,CalcUsage,Disc,MultFactor,ExportedUsage,NetConsumption,IsObb,ObbAmount,Language,PrevMonPeriod_1,PrevMonConsumption_1,PrevMonPeriod_2,PrevMonConsumption_2,PrevMonPeriod_3,PrevMonConsumption_3,PrevMonPeriod_4,PrevMonConsumption_4,PrevMonPeriod_5,PrevMonConsumption_5,PrevMonPeriod_6,PrevMonConsumption_6,PrevMonPeriod_7,PrevMonConsumption_7,PrevMonPeriod_8,PrevMonConsumption_8,PrevMonPeriod_9,PrevMonConsumption_9,PrevMonPeriod_10,PrevMonConsumption_10,PrevMonPeriod_11,PrevMonConsumption_11
2315680559,6480204482,2017-03-09,2017-04-14,Melissa Horn,"595 Andrew Way Apt. 353, Ravenberg, ID 09060",19.49,-42.37,421.05,3,3,1.04,492.632699633109,4.24,0.21,0.77,0.74,8.6,705844,2018-01-01 to 2018-05-28,11381,10984,397,0.62,1.03,408.91,408.91,FALSE,,English,2017-02-01 to 2017-12-28,549.99,2017-11-01 to 2017-07-28,565.01,2017-08-01 to 2017-11-28,540.81,2017-06-01 to 2017-01-28,544.88,2017-06-01 to 2017-02-28,536.55,2017-02-01 to 2017-07-28,542.29,2017-07-01 to 2017-03-28,532.39,2017-01-01 to 2017-06-28,526.42,2017-11-01 to 2017-04-28,512.92,2017-01-01 to 2017-04-28,513.51,2017-03-01 to 2017-10-28,492.63
2668062803,6782799070,2017-08-21,2017-09-09,Julian Nichols,"43253 Brown Parkway Apt. 114, New Roberto, NE 99389",66.49,-20.92,60.67,4,5,15.67,603.8564816384586,9.85,0.17,0.11,0.71,5.12,226079,2018-06-01 to 2018-06-28,11064,10620,444,0.41,1.03,457.32,457.32,FALSE,,Arabic,2017-05-01 to 2017-09-28,636.43,2017-04-01 to 2017-07-28,648.65,2017-10-01 to 2017-10-28,634.13,2017-12-01 to 2017-03-28,632.71,2017-07-01 to 2017-11-28,623.35,2017-01-01 to 2017-11-28,601.08,2017-03-01 to 2017-02-28,598.13,2017-06-01 to 2017-06-28,606.64,2017-07-01 to 2017-10-28,607.97,2017-02-01 to 2017-02-28,593.63,2017-08-01 to 2017-08-28,603.86
2291747881,6582498881,2017-06-24,2017-07-23,Sara Lopez,"5262 Curtis Island, New Juanland, MD 90953",68.54,-9.83,357.25,5,1,19.73,418.01441179352844,9.1,0.33,0.96,0.68,1.69,209660,2018-09-01 to 2018-02-28,11436,11077,359,0.97,1.07,384.13,384.13,TRUE,40.3,Arabic,2017-12-01 to 2017-06-28,420.29,2017-06-01 to 2017-02-28,422.79,2017-06-01 to 2017-10-28,405.22,2017-09-01 to 2017-08-28,411.2,2017-01-01 to 2017-07-28,401.03,2017-06-01 to 2017-08-28,431.22,2017-03-01 to 2017-06-28,428.69,2017-02-01 to 2017-03-28,423.24,2017-01-01 to 2017-04-28,429.98,2017-02-01 to 2017-02-28,424.04,2017-04-01 to 2017-11-28,418.01
2716363507,6970738213,2017-09-17,2017-10-27,Christopher Campbell,"USS Bell, FPO AP 65176",46.51,21.43,474.5,5,4,8.52,430.0481674790308,4.21,0.98,0.89,1.59,4.85,828319,2018-07-01 to 2018-08-28,10393,9771,622,0.68,1.02,634.44,634.44,TRUE,6.39,Arabic,2017-01-01 to 2017-02-28,449.46,2017-08-01 to 2017-04-28,427.14,2017-08-01 to 2017-04-28,435.64,2017-12-01 to 2017-01-28,432.89,2017-06-01 to 2017-04-28,427.9,2017-11-01 to 2017-03-28,430.56,2017-06-01 to 2017-08-28,434.5,2017-10-01 to 2017-08-28,421.55,2017-07-01 to 2017-10-28,441.98,2017-06-01 to 2017-06-28,418.84,2017-03-01 to 2017-04-28,430.05
2650795561,6061040820,2017-07-19,2017-08-19,Tammy Daniels,"659 Brandon Circles, Hamptonstad, AL 47210",56.11,27.34,177.47,2,3,7.94,542.2236707811752,9.45,0.9,0.31,0.63,3.94,451498,2018-12-01 to 2018-04-28,10993,10387,606,0.1,1.03,624.18,624.18,TRUE,1.11,Arabic,2017-01-01 to 2017-06-28,559.32,2017-08-01 to 2017-01-28,547.92,2017-12-01 to 2017-03-28,537.47,2017-01-01 to 2017-03-28,555.26,2017-09-01 to 2017-03-28,536.32,2017-12-01 to 2017-12-28,546.39,2017-01-01 to 2017-12-28,535.71,2017-11-01 to 2017-05-28,511.75,2017-05-01 to 2017-10-28,524.86,2017-11-01 to 2017-08-28,512.77,2017-08-01 to 2017-12-28,542.22
2424780138,6929982588,2017-04-11,2017-05-19,Fred Hughes,"USCGC Whitehead, FPO AE 41441",93.58,-6.9,205.19,10,2,17.62,570.8065353188506,8.52,0.96,0.63,0.73,4.29,425565,2018-05-01 to 2018-04-28,10239,9683,556,0.75,1.07,594.92,594.92,FALSE,,Arabic,2017-10-01 to 2017-01-28,526.4,2017-11-01 to 2017-10-28,502.41,2017-05-01 to 2017-07-28,557.0,2017-07-01 to 2017-09-28,539.6,2017-01-01 to 2017-12-28,532.33,2017-01-01 to 2017-06-28,555.58,2017-07-01 to 2017-04-28,547.72,2017-08-01 to 2017-01-28,577.96,2017-09-01 to 2017-01-28,564.79,2017-04-01 to 2017-02-28,569.87,2017-01-01 to 2017-08-28,570.81
2726886202,6726087779,2017-12-11,2017-12-26,Suzanne Miller,"65399 Bird Green, Eugenechester, MT 27678",25.71,21.2,128.88,3,5,13.53,625.5528666091755,4.09,0.86,0.39,1.11,1.91,466798,2018-06-01 to 2018-01-28,11616,11222,394,0.66,1.06,417.64,417.64,FALSE,,English,2017-06-01 to 2017-04-28,572.72,2017-04-01 to 2017-06-28,594.07,2017-06-01 to 2017-08-28,595.15,2017-07-01 to 2017-01-28,593.64,2017-05-01 to 2017-01-28,613.83,2017-02-01 to 2017-02-28,597.25,2017-10-01 to 2017-01-28,607.77,2017-07-01 to 2017-05-28,617.43,2017-08-01 to 2017-02-28,620.75,2017-07-01 to 2017-10-28,619.1,2017-12-01 to 2017-05-28,625.55
2194832022,6955079976,2017-08-08,2017-09-12,Jennifer Coleman,"0538 Morris Trail, Wellschester, NC 14092",24.85,6.42,493.09,0,1,12.51,584.3554446423794,8.46,0.86,0.99,1.1,16.31,610255,2018-07-01 to 2018-05-28,10311,9895,416,0.92,1.06,440.96,440.96,FALSE,,Arabic,2017-02-01 to 2017-06-28,597.38,2017-04-01 to 2017-10-28,583.54,2017-04-01 to 2017-01-28,614.99,2017-07-01 to 2017-01-28,594.19,2017-01-01 to 2017-05-28,594.39,2017-12-01 to 2017-08-28,589.46,2017-04-01 to 2017-01-28,591.77,2017-10-01 to 2017-01-28,581.83,2017-09-01 to 2017-09-28,604.2,2017-09-01 to 2017-07-28,602.92,2017-11-01 to 2017-05-28,584.36
2423584678,6584589721,2017-06-14,2017-07-10,David Warner,"38424 Elizabeth River Apt. 661, Lake Elizabethbury, VA 43105",21.31,-49.41,397.84,8,4,17.4,518.4446557192877,8.26,0.27,0.32,0.52,1.09,506898,2018-08-01 to 2018-07-28,10705,10217,488,0.81,1.05,512.4,512.4,TRUE,22.47,English,2017-12-01 to 2017-12-28,474.29,2017-10-01 to 2017-05-28,465.18,2017-06-01 to 2017-12-28,480.94,2017-01-01 to 2017-12-28,458.06,2017-02-01 to 2017-06-28,464.41,2017-10-01 to 2017-01-28,477.86,2017-01-01 to 2017-12-28,483.79,2017-06-01 to 2017-08-28,490.73,2017-01-01 to 2017-10-28,477.71,2017-10-01 to 2017-07-28,490.34,2017-04-01 to 2017-07-28,518.44
2376795529,6296212261,2017-04-28,2017-05-21,Tony Rodriguez,"935 Rogers Mountains Suite 821, Port Lisaburgh, VI 81895",87.05,47.83,164.89,1,2,10.6,536.3823169905928,7.77,0.98,0.59,1.19,1.46,942467,2018-02-01 to 2018-09-28,11645,11188,457,0.97,1.08,493.56,493.56,TRUE,43.38,Arabic,2017-01-01 to 2017-04-28,557.42,2017-06-01 to 2017-06-28,551.9,2017-10-01 to 2017-03-28,560.16,2017-08-01 to 2017-11-28,554.69,2017-06-01 to 2017-12-28,562.46,2017-03-01 to 2017-06-28,538.79,2017-02-01 to 2017-11-28,546.92,2017-12-01 to 2017-02-28,549.12,2017-02-01 to 2017-02-28,542.57,2017-05-01 to 2017-05-28,559.84,2017-09-01 to 2017-06-28,536.38
2297249633,6377679776,2017-03-04,2017-04-11,Jacqueline Smith,"6974 Vasquez Union, North Aaron, VT 49614",68.21,-37.46,279.55,10,3,6.87,1654.5216875080537,2.12,0.38,0.77,0.67,6.43,574040,2018-05-01 to 2018-06-28,10552,10175,377,0.15,1.04,392.08,392.08,FALSE,,Arabic,2017-03-01 to 2017-08-28,636.8,2017-09-01 to 2017-07-28,637.91,2017-10-01 to 2017-11-28,632.42,2017-08-01 to 2017-08-28,621.99,2017-08-01 to 2017-06-28,631.47,2017-08-01 to 2017-06-28,621.7,2017-11-01 to 2017-01-28,640.93,2017-07-01 to 2017-10-28,639.42,2017-03-01 to 2017-06-28,637.21,2017-10-01 to 2017-08-28,618.96,2017-01-01 to 2017-09-28,612.41
2607253263,6422757709,2017-05-08,2017-06-03,Diana Mckee,"PSC 7054, Box 7101, APO AP 09324",9.54,-16.13,214.65,1,4,10.54,397.6662365429649,1.25,0.4,0.81,0.63,1.57,852393,2018-03-01 to 2018-03-28,10850,10485,365,0.05,1.1,401.5,401.5,FALSE,,Arabic,2017-05-01 to 2017-11-28,406.28,2017-02-01 to 2017-04-28,405.16,2017-09-01 to 2017-03-28,401.63,2017-07-01 to 2017-09-28,397.26,2017-11-01 to 2017-09-28,405.6,2017-01-01 to 2017-07-28,387.52,2017-01-01 to 2017-06-28,397.67,2017-01-01 to 2017-05-28,405.52,2017-08-01 to 2017-12-28,394.47,2017-04-01 to 2017-08-28,386.97,2017-07-01 to 2017-02-28,397.67
2317298416,6952270232,2017-05-28,2017-07-07,Monica Arnold,"567 Brian Isle, West Diana, WA 94686",26.02,25.49,255.16,3,3,1.48,737.3822943682276,5.77,0.89,0.39,1.99,9.18,705189,2018-08-01 to 2018-10-28,11478,10957,521,0.36,1.06,552.26,552.26,TRUE,17.89,Arabic,2017-07-01 to 2017-09-28,671.04,2017-10-01 to 2017-10-28,689.77,2017-04-01 to 2017-11-28,686.11,2017-06-01 to 2017-11-28,694.45,2017-06-01 to 2017-03-28,701.96,2017-12-01 to 2017-01-28,684.09,2017-01-01 to 2017-08-28,697.17,2017-12-01 to 2017-04-28,728.38,2017-02-01 to 2017-01-28,726.87,2017-08-01 to 2017-10-28,727.63,2017-01-01 to 2017-08-28,737.38
2773448729,6491371514,2017-05-06,2017-06-19,Alan Pham,"7716 Ruiz Stravenue, Calvintown, WI 52199",97.7,11.91,426.58,6,0,8.72,591.1650442813041,7.92,0.92,0.14,1.11,18.53,538435,2018-06-01 to 2018-03-28,11974,11504,470,0.97,1.07,502.9,502.9,FALSE,,Arabic,2017-11-01 to 2017-07-28,596.8,2017-09-01 to 2017-12-28,604.35,2017-10-01 to 2017-06-28,594.96,2017-10-01 to 2017-04-28,595.86,2017-06-01 to 2017-01-28,601.88,2017-06-01 to 2017-12-28,589.93,2017-12-01 to 2017-07-28,591.41,2017-05-01 to 2017-08-28,598.41,2017-12-01 to 2017-02-28,593.4,2017-02-01 to 2017-10-28,581.8,2017-05-01 to 2017-01-28,591.17
2315989922,6682932739,2017-07-14,2017-08-28,Mark Perez,"PSC 7629, Box 3296, APO AA 41270",56.16,38.36,370.04,8,0,12.84,576.7667284062886,9.3,0.8,0.26,1.72,4.62,904403,2018-12-01 to 2018-10-28,11650,11129,521,0.86,1.03,536.63,536.63,TRUE,2.96,English,2017-02-01 to 2017-01-28,597.87,2017-04-01 to 2017-06-28,587.21,2017-11-01 to 2017-03-28,580.69,2017-07-01 to 2017-08-28,570.37,2017-06-01 to 2017-05-28,562.94,2017-07-01 to 2017-12-28,557.33,2017-10-01 to 2017-12-28,570.43,2017-03-01 to 2017-04-28,555.7,2017-06-01 to 2017-04-28,556.06,2017-01-01 to 2017-12-28,554.28,2017-09-01 to 2017-03-28,576.77
2629281567,6907671068,2017-05-17,2017-06-05,Roy Robinson,"01151 Johnson Port Suite 530, Jeremiahbury, NM 45254",50.17,-13.68,311.9,8,2,15.83,463.60030488205564,1.92,0.18,0.62,0.55,11.69,503162,2018-04-01 to 2018-05-28,10803,10419,384,0.64,1.07,410.88,410.88,TRUE,14.5,Arabic,2017-05-01 to 2017-07-28,420.3,2017-06-01 to 2017-11-28,447.29,2017-05-01 to 2017-06-28,440.21,2017-10-01 to 2017-10-28,447.18,2017-04-01 to 2017-07-28,434.56,2017-06-01 to 2017-07-28,432.65,2017-07-01 to 2017-05-28,436.46,2017-12-01 to 2017-05-28,440.84,2017-07-01 to 2017-05-28,439.45,2017-03-01 to 2017-10-28,434.91,2017-06-01 to 2017-11-28,463.6
2753805182,6627110968,2017-12-05,2017-12-30,Caitlyn Walker,"28800 Ray Islands, Lake Kathleen, OK 13143",32.28,-19.45,255.39,9,4,17.25,429.68752842668044,1.24,1.0,0.48,0.89,15.81,118075,2018-03-01 to 2018-10-28,11074,10577,497,0.86,1.0,497.0,497.0,TRUE,27.34,English,2017-06-01 to 2017-12-28,442.39,2017-08-01 to 2017-12-28,436.67,2017-10-01 to 2017-04-28,439.58,2017-04-01 to 2017-01-28,434.75,2017-05-01 to 2017-02-28,422.53,2017-08-01 to 2017-10-28,414.69,2017-06-01 to 2017-10-28,451.52,2017-07-01 to 2017-07-28,442.26,2017-10-01 to 2017-07-28,428.16,2017-08-01 to 2017-06-28,433.93,2017-02-01 to 2017-07-28,429.69
2686528202,6749830909,2017-12-09,2018-01-01,Sarah Stewart,"554 Russell Trafficway, Gibsonbury, CA 84847",76.48,37.71,400.24,0,2,8.02,723.737418008633,4.45,0.25,0.35,1.19,18.88,484370,2018-01-01 to 2018-03-28,11932,11631,301,0.47,1.0,301.0,301.0,FALSE,,English,2017-04-01 to 2017-08-28,681.49,2017-12-01 to 2017-05-28,701.27,2017-05-01 to 2017-09-28,709.79,2017-01-01 to 2017-08-28,707.95,2017-04-01 to 2017-09-28,716.65,2017-06-01 to 2017-07-28,723.41,2017-03-01 to 2017-10-28,696.2,2017-09-01 to 2017-08-28,710.29,2017-02-01 to 2017-07-28,721.06,2017-02-01 to 2017-11-28,735.57,2017-03-01 to 2017-02-28,723.74
2792837566,6025165548,2017-04-21,2017-05-10,Jenna Trujillo,"Unit 1391 Box 6659, DPO AP 37231",10.75,-36.49,448.55,4,2,9.33,645.106309657135,9.24,0.72,0.59,0.75,18.25,368562,2018-06-01 to 2018-08-28,11710,11071,639,0.31,1.03,658.17,658.17,TRUE,28.72,English,2017-08-01 to 2017-08-28,673.13,2017-10-01 to 2017-01-28,656.16,2017-03-01 to 2017-09-28,661.78,2017-06-01 to 2017-02-28,658.58,2017-10-01 to 2017-10-28,679.17,2017-09-01 to 2017-08-28,664.18,2017-03-01 to 2017-05-28,671.19,2017-04-01 to 2017-05-28,659.36,2017-08-01 to 2017-02-28,678.82,2017-05-01 to 2017-07-28,655.16,2017-04-01 to 2017-11-28,645.11
2973964839,6673144623,2017-06-12,2017-07-25,Stephanie Ayala,"360 Wilson Centers, Lake Susanmouth, VI 53467",74.61,-20.34,208.27,4,4,10.0,646.7564592165271,8.99,1.0,0.8,0.55,11.15,712741,2018-05-01 to 2018-07-28,10468,10047,421,0.78,1.04,437.84,437.84,TRUE,1.16,Arabic,2017-10-01 to 2017-03-28,691.65,2017-04-01 to 2017-04-28,688.43,2017-08-01 to 2017-10-28,690.71,2017-11-01 to 2017-02-28,679.84,2017-12-01 to 2017-05-28,675.56,2017-04-01 to 2017-07-28,688.63,2017-09-01 to 2017-09-28,680.44,2017-06-01 to 2017-10-28,652.51,2017-04-01 to 2017-06-28,668.68,2017-05-01 to 2017-05-28,675.17,2017-11-01 to 2017-12-28,646.76
2368019275,6379491474,2017-10-10,2017-10-28,Emily Cain,"614 Vargas Shore Apt. 913, Fordburgh, GA 26957",65.36,-42.58,134.96,2,5,15.25,529.7331756227802,0.86,0.95,0.32,2.0,1.78,642281,2018-07-01 to 2018-08-28,11612,11087,525,0.84,1.03,540.75,540.75,FALSE,,English,2017-08-01 to 2017-06-28,563.76,2017-10-01 to 2017-08-28,544.95,2017-03-01 to 2017-05-28,571.97,2017-01-01 to 2017-10-28,549.07,2017-11-01 to 2017-09-28,560.4,2017-05-01 to 2017-04-28,563.35,2017-08-01 to 2017-08-28,558.81,2017-09-01 to 2017-09-28,562.38,2017-03-01 to 2017-06-28,556.85,2017-09-01 to 2017-03-28,541.24,2017-04-01 to 2017-03-28,529.73
2264162444,6425480564,2017-12-12,2018-01-17,Alyssa Gardner,"219 Vargas Tunnel Suite 512, South Hunterview, FL 36300",31.08,32.04,474.53,1,3,17.01,710.6793008140842,8.59,0.79,0.82,0.96,10.27,759017,2018-12-01 to 2018-10-28,11794,11286,508,0.01,1.09,553.72,553.72,TRUE,45.35,English,2017-06-01 to 2017-02-28,680.51,2017-08-01 to 2017-01-28,682.09,2017-03-01 to 2017-09-28,687.9,2017-08-01 to 2017-05-28,680.41,2017-01-01 to 2017-11-28,683.4,2017-12-01 to 2017-11-28,694.07,2017-08-01 to 2017-02-28,711.0,2017-04-01 to 2017-04-28,704.23,2017-05-01 to 2017-07-28,712.72,2017-06-01 to 2017-07-28,680.8,2017-06-01 to 2017-10-28,710.68
2345653966,6697639999,2017-12-15,2018-01-03,Perry Blair,"164 Gutierrez Lights, Nicolasshire, AK 20746",57.81,14.77,258.59,1,3,11.44,455.85792195874683,1.52,0.53,0.22,1.43,14.7,815291,2018-09-01 to 2018-12-28,11278,10753,525,0.41,1.07,561.75,561.75,FALSE,,Arabic,2017-03-01 to 2017-09-28,487.22,2017-04-01 to 2017-12-28,485.04,2017-05-01 to 2017-08-28,477.68,2017-05-01 to 2017-05-28,483.43,2017-04-01 to 2017-03-28,464.94,2017-08-01 to 2017-07-28,470.16,2017-04-01 to 2017-06-28,473.64,2017-08-01 to 2017-12-28,473.43,2017-02-01 to 2017-07-28,472.43,2017-06-01 to 2017-04-28,450.62,2017-05-01 to 2017-02-28,455.86
2860793226,6836807262,2017-02-01,2017-03-12,Justin Anderson,"151 Brown Views Apt. 044, New Timothy, AZ 27577",45.05,47.45,418.04,0,0,1.31,621.7063287843351,4.81,0.7,0.24,1.99,16.97,109230,2018-06-01 to 2018-10-28,10382,9922,460,0.94,1.09,501.4,501.4,TRUE,37.6,English,2017-01-01 to 2017-11-28,596.29,2017-06-01 to 2017-09-28,584.27,2017-07-01 to 2017-11-28,593.55,2017-10-01 to 2017-07-28,603.82,2017-04-01 to 2017-02-28,603.51,2017-12-01 to 2017-05-28,622.45,2017-10-01 to 2017-03-28,591.96,2017-07-01 to 2017-03-28,597.07,2017-08-01 to 2017-07-28,606.9,2017-08-01 to 2017-03-28,599.65,2017-07-01 to 2017-07-28,621.71
